image_id,image_path,mask_path,metadata_path,split,subset,num_objects
normal_000,images/normal_000.png,masks/normal_000.npy,metadata/normal_000.json,test,normal,2
normal_001,images/normal_001.png,masks/normal_001.npy,metadata/normal_001.json,test,normal,3
light_occlusion_000,images/light_occlusion_000.png,masks/light_occlusion_000.npy,metadata/light_occlusion_000.json,test,light_occlusion,3
light_occlusion_001,images/light_occlusion_001.png,masks/light_occlusion_001.npy,metadata/light_occlusion_001.json,test,light_occlusion,3
heavy_occlusion_000,images/heavy_occlusion_000.png,masks/heavy_occlusion_000.npy,metadata/heavy_occlusion_000.json,test,heavy_occlusion,3
heavy_occlusion_001,images/heavy_occlusion_001.png,masks/heavy_occlusion_001.npy,metadata/heavy_occlusion_001.json,test,heavy_occlusion,3
same_category_000,images/same_category_000.png,masks/same_category_000.npy,metadata/same_category_000.json,test,same_category,3
same_category_001,images/same_category_001.png,masks/same_category_001.npy,metadata/same_category_001.json,test,same_category,3
contact_heavy_000,images/contact_heavy_000.png,masks/contact_heavy_000.npy,metadata/contact_heavy_000.json,test,contact_heavy,3
contact_heavy_001,images/contact_heavy_001.png,masks/contact_heavy_001.npy,metadata/contact_heavy_001.json,test,contact_heavy,3
truncation_000,images/truncation_000.png,masks/truncation_000.npy,metadata/truncation_000.json,test,truncation,3
truncation_001,images/truncation_001.png,masks/truncation_001.npy,metadata/truncation_001.json,test,truncation,3
scale_variation_000,images/scale_variation_000.png,masks/scale_variation_000.npy,metadata/scale_variation_000.json,test,scale_variation,3
scale_variation_001,images/scale_variation_001.png,masks/scale_variation_001.npy,metadata/scale_variation_001.json,test,scale_variation,3
small_object_000,images/small_object_000.png,masks/small_object_000.npy,metadata/small_object_000.json,test,small_object,3
small_object_001,images/small_object_001.png,masks/small_object_001.npy,metadata/small_object_001.json,test,small_object,3
mixed_000,images/mixed_000.png,masks/mixed_000.npy,metadata/mixed_000.json,test,mixed,3
mixed_001,images/mixed_001.png,masks/mixed_001.npy,metadata/mixed_001.json,test,mixed,3
